Best Parameters: {'max_depth': 17, 'num_leaves': 46, 'min_data_in_leaf': 300, 'feature_fraction': 0.9727807801928241, 'learning_rate': 0.08976609709006421, 'num_boost_round': 957}
Best Score: 48700.069011337844
Trial 0, Value: 63649.78617402967, Params: {'max_depth': 12, 'num_leaves': 40, 'min_data_in_leaf': 69, 'feature_fraction': 0.3745295367267663, 'learning_rate': 0.07108366931075459, 'num_boost_round': 699}
Trial 18, Value: 69923.57637642857, Params: {'max_depth': 6, 'num_leaves': 13, 'min_data_in_leaf': 296, 'feature_fraction': 0.5410987223198263, 'learning_rate': 0.05825800356090893, 'num_boost_round': 166}
Trial 19, Value: 65001.87937824719, Params: {'max_depth': 21, 'num_leaves': 20, 'min_data_in_leaf': 215, 'feature_fraction': 0.904235038188552, 'learning_rate': 0.010834474304468834, 'num_boost_round': 663}
Trial 20, Value: 52325.6531595098, Params: {'max_depth': 15, 'num_leaves': 28, 'min_data_in_leaf': 149, 'feature_fraction': 0.8226594927041024, 'learning_rate': 0.08332844052516633, 'num_boost_round': 785}
Trial 21, Value: 51058.30108177658, Params: {'max_depth': 23, 'num_leaves': 29, 'min_data_in_leaf': 148, 'feature_fraction': 0.9427634445851973, 'learning_rate': 0.08635406269590767, 'num_boost_round': 766}
Trial 22, Value: 48880.682496995185, Params: {'max_depth': 23, 'num_leaves': 41, 'min_data_in_leaf': 194, 'feature_fraction': 0.960283631918127, 'learning_rate': 0.08662182894959078, 'num_boost_round': 903}
Trial 23, Value: 50879.17819943889, Params: {'max_depth': 22, 'num_leaves': 39, 'min_data_in_leaf': 187, 'feature_fraction': 0.9210182910487401, 'learning_rate': 0.06575824141166468, 'num_boost_round': 925}
Trial 24, Value: 50783.211360417314, Params: {'max_depth': 21, 'num_leaves': 42, 'min_data_in_leaf': 246, 'feature_fraction': 0.8781193332705494, 'learning_rate': 0.06426429173622861, 'num_boost_round': 920}
Trial 25, Value: 50799.64148336633, Params: {'max_depth': 20, 'num_leaves': 43, 'min_data_in_leaf': 263, 'feature_fraction': 0.8509691129562387, 'learning_rate': 0.06171909529999786, 'num_boost_round': 914}
Trial 26, Value: 52622.30076824497, Params: {'max_depth': 16, 'num_leaves': 43, 'min_data_in_leaf': 235, 'feature_fraction': 0.7563216112957525, 'learning_rate': 0.07941576487811496, 'num_boost_round': 718}
Trial 27, Value: 53180.279152528245, Params: {'max_depth': 25, 'num_leaves': 46, 'min_data_in_leaf': 188, 'feature_fraction': 0.7546842506706282, 'learning_rate': 0.04842867802528099, 'num_boost_round': 915}
Trial 28, Value: 53867.68254062491, Params: {'max_depth': 20, 'num_leaves': 37, 'min_data_in_leaf': 264, 'feature_fraction': 0.938257345377329, 'learning_rate': 0.033344062275250386, 'num_boost_round': 813}
Trial 29, Value: 55666.08478741873, Params: {'max_depth': 20, 'num_leaves': 42, 'min_data_in_leaf': 242, 'feature_fraction': 0.6111373081128468, 'learning_rate': 0.06709654565810055, 'num_boost_round': 691}
Trial 30, Value: 54927.812443142946, Params: {'max_depth': 23, 'num_leaves': 50, 'min_data_in_leaf': 204, 'feature_fraction': 0.9642844104201296, 'learning_rate': 0.025327637795427266, 'num_boost_round': 598}
Trial 31, Value: 50941.05857406896, Params: {'max_depth': 19, 'num_leaves': 44, 'min_data_in_leaf': 259, 'feature_fraction': 0.865883630429762, 'learning_rate': 0.05871007562898544, 'num_boost_round': 916}
Trial 32, Value: 50706.40544118029, Params: {'max_depth': 22, 'num_leaves': 40, 'min_data_in_leaf': 268, 'feature_fraction': 0.8474516848889554, 'learning_rate': 0.0663948716478943, 'num_boost_round': 998}
Trial 33, Value: 50858.0679320277, Params: {'max_depth': 16, 'num_leaves': 33, 'min_data_in_leaf': 281, 'feature_fraction': 0.8931062613545215, 'learning_rate': 0.07906651135243876, 'num_boost_round': 974}
Trial 34, Value: 51899.79567716354, Params: {'max_depth': 23, 'num_leaves': 40, 'min_data_in_leaf': 230, 'feature_fraction': 0.7048082245468067, 'learning_rate': 0.07197192860805482, 'num_boost_round': 999}
Trial 35, Value: 54009.162803178086, Params: {'max_depth': 25, 'num_leaves': 38, 'min_data_in_leaf': 286, 'feature_fraction': 0.8392387104178859, 'learning_rate': 0.037987657282947666, 'num_boost_round': 826}
Trial 36, Value: 51988.59668034328, Params: {'max_depth': 22, 'num_leaves': 35, 'min_data_in_leaf': 104, 'feature_fraction': 0.7791440693107679, 'learning_rate': 0.09031947319109394, 'num_boost_round': 938}
Trial 37, Value: 63669.67641142015, Params: {'max_depth': 8, 'num_leaves': 47, 'min_data_in_leaf': 193, 'feature_fraction': 0.4374064611696965, 'learning_rate': 0.04344173116195197, 'num_boost_round': 880}
Trial 38, Value: 53361.3372845946, Params: {'max_depth': 24, 'num_leaves': 40, 'min_data_in_leaf': 168, 'feature_fraction': 0.9570747229566714, 'learning_rate': 0.05204502813361208, 'num_boost_round': 484}
Trial 39, Value: 53429.23363653202, Params: {'max_depth': 16, 'num_leaves': 26, 'min_data_in_leaf': 85, 'feature_fraction': 0.9007682254899034, 'learning_rate': 0.07352396248164825, 'num_boost_round': 719}
Trial 40, Value: 58189.60825202677, Params: {'max_depth': 21, 'num_leaves': 33, 'min_data_in_leaf': 253, 'feature_fraction': 0.7957917016271889, 'learning_rate': 0.06238436099928899, 'num_boost_round': 369}
Trial 41, Value: 50855.1501097392, Params: {'max_depth': 20, 'num_leaves': 42, 'min_data_in_leaf': 268, 'feature_fraction': 0.8553672007963209, 'learning_rate': 0.0626403571288985, 'num_boost_round': 905}
Trial 42, Value: 49849.670306825676, Params: {'max_depth': 19, 'num_leaves': 45, 'min_data_in_leaf': 298, 'feature_fraction': 0.8590607023943706, 'learning_rate': 0.08961290612431055, 'num_boost_round': 834}
Trial 43, Value: 49538.15505771579, Params: {'max_depth': 19, 'num_leaves': 48, 'min_data_in_leaf': 295, 'feature_fraction': 0.9110995934265227, 'learning_rate': 0.08976448984894134, 'num_boost_round': 828}
Trial 44, Value: 48700.069011337844, Params: {'max_depth': 17, 'num_leaves': 46, 'min_data_in_leaf': 300, 'feature_fraction': 0.9727807801928241, 'learning_rate': 0.08976609709006421, 'num_boost_round': 957}
Trial 45, Value: 48936.890563044566, Params: {'max_depth': 17, 'num_leaves': 49, 'min_data_in_leaf': 300, 'feature_fraction': 0.9743808082185413, 'learning_rate': 0.08848852933530017, 'num_boost_round': 833}
Trial 46, Value: 48824.9270176406, Params: {'max_depth': 14, 'num_leaves': 49, 'min_data_in_leaf': 298, 'feature_fraction': 0.9943705070263408, 'learning_rate': 0.09078969319303964, 'num_boost_round': 825}
Trial 47, Value: 49189.86247899032, Params: {'max_depth': 13, 'num_leaves': 48, 'min_data_in_leaf': 283, 'feature_fraction': 0.999335957569506, 'learning_rate': 0.07718263966091922, 'num_boost_round': 807}
Trial 48, Value: 49501.19782081136, Params: {'max_depth': 13, 'num_leaves': 49, 'min_data_in_leaf': 273, 'feature_fraction': 0.9996025076905788, 'learning_rate': 0.07877637399345473, 'num_boost_round': 742}
Trial 49, Value: 49389.17688300636, Params: {'max_depth': 13, 'num_leaves': 50, 'min_data_in_leaf': 282, 'feature_fraction': 0.96843028766244, 'learning_rate': 0.07395523685811432, 'num_boost_round': 799}
